game_name,link,genres,release_year,number_of_reviews_from_purchased_people,game_avg_hrs_played,overall_player_rating,game_id
CarX Drift Racing Online,https://store.steampowered.com/app/635260/CarX_Drift_Racing_Online?snr=1_category_4_simulation_100727,racing driving multiplayer automobile_sim simulation sports open_world massively_multiplayer controller vr singleplayer arcade realistic local_multiplayer co-op mod games_workshop casual action early_access,2017,73316.0,247.17829302418548,Overwhelmingly Positive,27
Garry's Mod,https://store.steampowered.com/app/4000/Garrys_Mod?snr=1_category_4_simulation_100727,sandbox moddable multiplayer physics building casual funny first-person singleplayer fps simulation online_co-op co-op shooter comedy action indie pvp realistic exploration,2006,945676.0,2235.8873801916934,Overwhelmingly Positive,76
Total War: WARHAMMER,https://store.steampowered.com/app/364360/Total_War_WARHAMMER?snr=1_category_4_strategy_salebrowseall,strategy fantasy rts war turn-based_strategy games_workshop grand_strategy multiplayer tactical dark_fantasy action singleplayer turn-based atmospheric dwarf co-op story_rich open_world rpg gore,2016,31165.0,244.28109403074467,Mostly Positive,195
Hogwarts Legacy,https://store.steampowered.com/app/990080/Hogwarts_Legacy?snr=1_category_4_rpg_100727,magic fantasy open_world singleplayer adventure rpg character_customization exploration story_rich third_person action-adventure atmospheric action_rpg action combat choices_matter puzzle great_soundtrack dark family_friendly,2023,203217.0,73.58746736292429,Very Positive,88
Arma 3,https://store.steampowered.com/app/107410/Arma_3?snr=1_category_4_simulation_100727,military action multiplayer shooter simulation realistic first-person open_world tactical fps war co-op strategy sandbox singleplayer moddable combat online_co-op team-based third-person_shooter,2013,206149.0,1975.4236374525851,Very Positive,16
Company of Heroes 3,https://store.steampowered.com/app/1677280/Company_of_Heroes_3?snr=1_category_4_strategy_salebrowseall,strategy wargame rts action_rts real_time_tactics world_war_ii pvp turn-based_tactics historical military top-down turn-based_strategy action choices_matter tactical turn-based_combat war singleplayer multiplayer cinematic,2023,15774.0,159.78937911758834,Mixed,31
Kerbal Space Program,https://store.steampowered.com/app/220200/Kerbal_Space_Program?snr=1_category_4_simulation_100727,space simulation sandbox physics science space_sim building moddable indie education open_world singleplayer exploration funny sci-fi difficult adventure replay_value strategy comedy,2015,100053.0,494.89339189458974,Overwhelmingly Positive,94
Diablo® IV,https://store.steampowered.com/app/2344520/Diablo_IV?snr=1_category_4_action_100726,action_rpg hack_and_slash loot isometric rpg online_co-op singleplayer co-op action third_person dungeon_crawler multiplayer fantasy pve dark_fantasy story_rich gore exploration violent point_&_click,2023,23757.0,106.94109424920129,Mostly Positive,46
RIDE 5,https://store.steampowered.com/app/1650010/RIDE_5?snr=1_category_4_sportsandracing_100726,racing simulation sports motorbike split_screen bikes driving multiplayer realistic singleplayer local_multiplayer first-person controller third_person pvp physics family_friendly character_customization artificial_intelligence tutorial,2023,1063.0,60.3125,Mostly Positive,143
Wallpaper Engine,https://store.steampowered.com/app/431960/Wallpaper_Engine?snr=1_category_4_action_100726,mature utilities software anime design_&_illustration animation_&_modeling nsfw first-person indie memes cute action singleplayer funny early_access photo_editing sandbox horror game_development gaming,2018,760648.0,428.8163306049112,Overwhelmingly Positive,213
RIDE 4,https://store.steampowered.com/app/1259980/RIDE_4?snr=1_category_4_sportsandracing_100727,racing motorbike sports multiplayer first-person open_world third_person simulation automobile_sim driving pvp singleplayer bikes competitive vr controller difficult split_screen,2020,8719.0,91.13252219664584,Very Positive,142
Yu-Gi-Oh! Master Duel,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel?snr=1_category_4_simulation_salebrowseall,card_game free_to_play strategy trading_card_game multiplayer pvp card_battler anime simulation turn-based_tactics tactical singleplayer esports dragons fantasy pve 3d 2d great_soundtrack sexual_content,2022,76889.0,312.0126025205041,Mostly Positive,222
Mount & Blade: Warband,https://store.steampowered.com/app/48700/Mount__Blade_Warband?snr=1_category_4_rpg_100727,medieval rpg open_world strategy sandbox multiplayer action moddable military adventure horses singleplayer realistic first-person historical third_person simulation hack_and_slash fantasy indie,2010,127977.0,952.8732281892592,Overwhelmingly Positive,119
Assetto Corsa,https://store.steampowered.com/app/244210/Assetto_Corsa?snr=1_category_4_simulation_salebrowseall,racing automobile_sim simulation driving multiplayer realistic vr sports moddable open_world controller physics singleplayer first-person replay_value indie action 3d_vision trackir artificial_intelligence,2014,103905.0,329.3825878594249,Very Positive,18
The Forest,https://store.steampowered.com/app/242760/The_Forest?snr=1_category_4_action_100727,open_world_survival_craft survival open_world horror crafting adventure building survival_horror first-person action exploration sandbox singleplayer atmospheric simulation gore realistic indie zombies early_access,2018,472878.0,111.59191838367674,Overwhelmingly Positive,185
Europa Universalis IV,https://store.steampowered.com/app/236850/Europa_Universalis_IV?snr=1_category_4_strategy_100726,grand_strategy strategy historical simulation 4x alternate_history diplomacy military wargame economy replay_value sandbox political real-time_with_pause moddable nonlinear co-op management singleplayer multiplayer,2013,86744.0,1835.5086693548387,Very Positive,61
